,Ef,rho,of,gtf,ea_mean,spec_heat_mean,heat_fus_mean,vdw_mean,atom_rad_mean,av_ionrad_mean,av_rsp_mean,x_mean,Ehull,Eg
1117,-2.969,6.452999999999999,0.653571429,0.9333062870000001,1.19480006,0.6761,0.056008232000000005,1.8769999999999998,1.025,1.2187,0.67145,2.736,0.0,3.2569999999999997
1118,-2.9610000000000003,7.77,0.7361111109999999,0.888934239,1.03238976,0.6186,0.066544352,1.912,1.095,1.2395,0.71905,2.594,0.0,2.5810000000000004
1119,-3.17,7.138999999999999,0.6984126979999999,0.9086652559999999,1.00438976,0.6512,0.076489952,1.95,1.075,1.23,0.7412,2.5580000000000003,0.0,2.156
1120,-3.0639999999999996,7.312,0.663888889,0.927519031,0.95288976,0.6513,0.069548752,1.949,1.075,1.2213,0.7247,2.575,0.0,2.262
1121,-3.0860000000000003,7.468,0.6984126979999999,0.9086652559999999,0.96778976,0.6297,0.058629312,1.8980000000000001,1.09,1.23,0.7217,2.57,0.0,4.051
1122,-2.826,8.091000000000001,0.854365079,0.8322463720000001,0.95778976,0.6193,0.059603152,1.901,1.125,1.2693,0.73095,2.5540000000000003,0.0,2.464
1123,-2.8360000000000003,7.382999999999999,0.800396825,0.857193585,1.11628976,0.6228,0.040437152000000004,1.942,1.125,1.2557,0.72905,2.5540000000000003,0.0,1.7730000000000001
1124,-2.78,7.907,0.6932539679999999,0.911433629,1.17806976,0.6237,0.056080752000000005,1.964,1.1,1.2287,0.7606,2.572,0.0,0.0
1125,-3.069,6.694,0.6972222220000001,0.909302618,1.09648976,0.6357,0.066440752,1.98,1.11,1.2297,0.7652,2.568,0.0,0.0
1126,-3.4610000000000003,6.5760000000000005,0.715079365,0.899835099,1.11101976,0.6371,0.056909552,1.9909999999999999,1.11,1.2342,0.7672,2.512,0.0,2.991
1127,-3.042,7.763,0.672222222,0.922896843,1.03668976,0.6243,0.063332752,1.983,1.1,1.2234,0.7632,2.542,0.0,0.0
1128,-3.094,6.934,0.719047619,0.8977579170000001,1.12628976,0.6313,0.049553952000000005,1.9409999999999998,1.11,1.2352,0.71745,2.557,0.0,3.5069999999999997
1129,-3.582,7.574,0.715079365,0.899835099,1.05388976,0.6246,0.066440752,1.992,1.11,1.2342,0.7687,2.502,0.0,3.512
1130,-3.141,7.577999999999999,0.694047619,0.911006628,1.10318976,0.6238,0.065404752,1.984,1.1,1.2289,0.76595,2.588,0.0,1.7069999999999999
1131,-3.111,7.002000000000001,0.742063492,0.8858968779999999,1.08338976,0.6335,0.072656752,1.973,1.11,1.2409999999999999,0.7629,2.583,0.0,0.0
1132,-3.502,6.847,0.759920635,0.8769080709999999,1.09791976,0.6349,0.063125552,1.984,1.11,1.2455,0.7649,2.5269999999999997,0.0,2.855
1133,-3.0810000000000004,8.1,0.7170634920000001,0.898795308,1.02358976,0.6221,0.069548752,1.976,1.1,1.2347,0.7609,2.557,0.0,0.0
